How do I make a reservation?,"Click the ""Booking"" button, choose your type of cabin(s), your travel dates on the calendar, and the system will guide you to reserve your cabin(s). Once done, you will immediately receive an email indicating all the details, including where to send the payment. We will wait up to 24 hours (only for bookings more than 15 days in advance; for less than 15 days in advance we will wait 2 hours) for you to make that wire transfer; In that period of time, you will keep your spaces blocked. Upon receipt of proof of payment, we will definitively confirm your reservation and send you the receipt and the corresponding sales slip. Fast and easy!</p>"
Is breakfast included in the price of the little cabins?,"No, breakfast is not included but, if you wish (and we recommend it!) you can include it at the end of the booking process for an additional value.</p>"
What are the Check-In and Out times?,Check IN: from 15:00 hrs (3PM) to 23:00 hrs (11PM) - Check Out: 11:00 hrs (11AM)</p>
Is there a cell phone signal in the Lodge Caleta Gonzalo sector? And in the Pumalín Park?,"The cell phone signal in the area where the Caleta Gonzalo Lodge is located is very weak and will depend on the physical place where you are. In general in the sector of cabins and surroundings of the restaurant there is enough signal for messaging (WhatsApp and email). Movistar and Wom have good coverage. Entel allows 2G.&nbsp;There is no cell phone coverage in the areas of the trails, with the exception of some points in height and clear geography (such as hilltops). The general rule is that you plan your hikes assuming that there will be no cell phone signal.</p>"
Is there wifi in the logde?,"We cannot offer Wifi to our guests. We only have satellite internet that covers the basic administrative and commercial needs of the Lodge. In any case, in the event of any emergency or very urgent need, we will be happy to help you by sharing with you one of our computers that is connected to the satellite.</p>"
How do I pay for services at the Lodge? Should I bring cash? Do you accept credit cards? Are there ATMs?,"At Lodge Caleta Gonzalo we are connected to the internet via satellite, which allows us to accept credit or debit cards. That being said, these types of connections fail on some occasions (especially in rainy and windy weather) and that is why we suggest bringing cash. The closest ATMs are in Hornopirén and Chaitén.</p>"
Where can I get fuel?,"If you go to Lodge Caleta Gonzalo you will find fuel stations in Hornopirén, Chaitén and El Amarillo. We always recommend filling your tank when you find a service station!</p>"
What happens if I have to cancel my already paid trip?,"In those cases, we will apply the cancellation charges established in our <a href=""https://lodgecaletagonzalo.cl/en/terms-conditions/"">TERMS &amp; CONDITIONS</a>. It is important that you read them and agree with them.</p>"
The little cabins do not have a kitchen: where can we have lunch or dinner?,"The cabins are located very close to the Lodge's restaurant/cafeteria. Here breakfasts, lunches and dinners are served for our guests. The restaurant offers a ""daily menu"" for both lunch and dinner. We have an interesting wine list and our pastries are very well known! We also have a “box-lunch” or “packed lunch” that is very practical for those who go out for a hike after breakfast, walk the trails of Pumalín during the day and return in the afternoon/evening to have dinner and relax.&nbsp;We have 2 cabins that do have a kitchen: Colonos and the Hobbit Villa. If you want a ""shot"" of nature and tranquility, these are your best alternatives. These little cabins are far from the parking lot, app. 400-500 meters and therefore you have to walk a little to get to them... but that little effort is largely rewarded with the location!</p>"
Do I have to pay an entrance fee to walk the trails of the Pumalín Douglas Tompkins National Park?,No. The Pumalín Park is crossed by Route 7 (Carretera Austral) and all its trails start from this route. CONAF -unitl now- does not charge for accessing these trails.</p>
